condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,88,442.0,452.0,1.0,1.613319756009371,0.8261049492248196,False,False,True,20.0,9,27.0,29,87.0,13,39.0,-0.17241379310344823,-0.07692307692307687,333.60474998791074,134.41953598202127,227.04278766816358,68.66385505125997,75805.65591206256,61752.28922064982
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,92,462.0,472.0,1.0,1.548903464843833,0.8484977839908561,False,False,True,20.0,5,15.0,31,93.0,9,27.0,0.16129032258064518,-1.0,240.9902651110845,131.47272962296606,175.30189005424046,66.62593513298819,57956.146733556314,50410.903390698215
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,96,482.0,492.0,1.0,1.3923232028330743,0.8776771941908549,True,False,False,20.0,8,24.0,26,78.0,16,48.0,-0.07692307692307687,-0.125,258.60045868444746,130.54904676727503,160.3320686773099,68.06695791499153,66779.49322033301,57380.73054844189
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,100,502.0,512.0,1.0,1.4931904565996077,0.7515204922286871,False,True,False,20.0,13,39.0,17,51.0,6,18.0,-0.17647058823529416,-0.3333333333333333,341.36850753802076,160.46341927581602,232.37366799184147,55.57475658209715,72952.24654870131,69075.18484144544
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,104,522.0,532.0,1.0,1.1775673970556733,0.8035201257053163,False,False,True,20.0,14,42.0,22,66.0,6,18.0,0.2727272727272727,-0.6666666666666667,312.74329445565877,168.03453853994893,243.85937841233155,86.38989558851361,59961.97919088914,74213.45155189246
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,108,542.0,552.0,1.0,1.5759848647544223,0.7806167918784921,False,True,False,20.0,15,45.0,18,54.0,7,21.0,0.4444444444444444,-0.4285714285714286,304.647644653091,180.86050628439583,191.32019062090666,89.960406040399,69940.47838988775,72273.47058739881
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,112,562.0,572.0,1.0,1.0746035867841004,0.8343505314172273,False,False,True,20.0,8,24.0,9,27.0,11,33.0,-0.3333333333333333,0.4545454545454546,238.76606607849584,173.90102990958957,190.2451715743654,79.58056251690017,38541.135952434226,58682.076790645464
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,116,582.0,592.0,1.0,1.6175709699475431,0.8228537132097805,True,False,False,20.0,11,33.0,16,48.0,4,12.0,0.0,0.0,292.1973222803941,151.85633704908543,183.6837785781566,94.80054474046368,59370.93167077663,64078.582598028785
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,120,602.0,612.0,1.0,1.2264030525848864,0.6294864279768126,False,True,False,20.0,11,33.0,11,33.0,1,3.0,-0.09090909090909088,-1.0,385.17386926872393,159.04766264078165,281.4204468178785,95.6488640693825,71633.1908491306,50413.92841969557
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,124,622.0,632.0,2.0,1.3384973849012938,0.7061777089472814,False,True,False,20.0,10,30.0,10,30.0,7,21.0,0.19999999999999996,-0.14285714285714285,179.66297744777893,179.2460309747412,78.59515653552853,118.39553882953516,54351.60810588985,61923.057354857985
